,batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,total_run_x,crr,rrr,results
3501,Royal Challengers Bangalore,Chennai Super Kings,Johannesburg,130,116,0,147,25.5,6.72,1
3502,Sunrisers Hyderabad,Delhi Capitals,Centurion,154,125,9,154,-0.0,7.39,0
3503,Sunrisers Hyderabad,Delhi Capitals,Centurion,133,119,3,154,126.0,6.71,0
3504,Sunrisers Hyderabad,Delhi Capitals,Centurion,132,119,2,154,132.0,6.66,0
3505,Sunrisers Hyderabad,Delhi Capitals,Centurion,132,118,1,154,66.0,6.71,0
3506,Sunrisers Hyderabad,Delhi Capitals,Centurion,132,117,0,154,44.0,6.77,0
3507,Sunrisers Hyderabad,Royal Challengers Bangalore,Centurion,171,125,9,171,-0.0,8.21,0
3508,Sunrisers Hyderabad,Royal Challengers Bangalore,Centurion,171,124,8,171,-0.0,8.27,0
3509,Sunrisers Hyderabad,Royal Challengers Bangalore,Centurion,167,119,3,171,24.0,8.42,0
3510,Sunrisers Hyderabad,Royal Challengers Bangalore,Centurion,163,118,2,171,24.0,8.29,0
3511,Sunrisers Hyderabad,Royal Challengers Bangalore,Centurion,161,117,1,171,20.0,8.26,0
3512,Sunrisers Hyderabad,Royal Challengers Bangalore,Centurion,160,116,0,171,16.5,8.28,0
